"","spec.name","Old.name","scientificName","Fuzzy.dist","taxonRank","taxonomicStatus"
"1","Centaria glauca","Centaurea glauca","Amberboa glauca",2,"species","Accepted"
"2","Centaria glauca","Centaurea glauca","Centaurea calocephala",2,"species","Accepted"
"3","Centaria glauca","Cervaria glauca","Peucedanum cervaria",2,"species","Accepted"
"4","Centaria glauca","Setaria glauca","Cenchrus americanus",2,"species","Accepted"
"5","Savonia borealis","","Mahonia borealis",2,"species","Unchecked"
"6","Lerinaea lorealis","","Imerinaea",11,"genus","Accepted"
"7","Vaccinium vitis","","Vaccinium viride",3,"species","Accepted"
"8","Vaccinium vitis","","Vaccinium viride",3,"species","Accepted"
"9","Hygrophylla scrphyllum","","Hygrophila",13,"genus","Accepted"
"10","Hygrophylla scrphyllum","","Hygrophila",13,"genus","Accepted"
"11","Hygrophylla scrphyllum","Hygrophila","Dumortiera",13,"genus","Accepted"
"12","Hygrophylla scrphyllum","Hygropyla","Dumortiera",13,"genus","Accepted"
"13","Hygrophylla scrphyllum","Nyrophylla","Persea",13,"genus","Accepted"
"14","Venguria spinosa","Vangueria spinosa","Meyna spinosa",2,"species","Accepted"
"15","Symphoricapri vulgaris","","Symphoricarpos vulgaris",3,"species","Unchecked"
"16","Foliis amorphae","Folis nudicaulis","Teesdalia nudicaulis",11,"species","Accepted"
"17","Asteris alpini","Pteris alpinii","Pteris vittata  subsp. vittata",3,"subspecies","Accepted"
"18","Berberidis vulgaris","","Berberis vulgaris",2,"species","Accepted"
"19","Enothera biennis","","Oenothera biennis",2,"species","Accepted"
"20","Hamamelidis japonicae","","Hamamelis japonica",3,"species","Accepted"
"21","Lachia pulchella","Lawia pulchella","Dalzellia ceylanica",2,"species","Accepted"
"22","Lachia pulchella","","Lechea pulchella",2,"species","Accepted"
"23","Houstoniatum coerulea","","Houstonia coerulea var. elatior",16,"variety","Unchecked"
"24","Berberidis laurifolia","","Aster berberidis",16,"species","Unchecked"
"25","Rubus infestans","","Rubus instans",2,"species","Unchecked"
"26","Rubus infestans","","Rubus infestus",2,"species","Unchecked"
"27","Rubus infestans","","Rubus infestus",2,"species","Unchecked"
"28","Rubus infestans","","Rubus infestus",2,"species","Unchecked"
"29","Rubus infestans","","Rubus infestus",2,"species","Unchecked"
"30","Rubus infestans","Rubus infestus","Rubus infestior",2,"species","Accepted"
"31","Rubus infestans","","Rubus infestus",2,"species","Unchecked"
"32","Rubus infestans","","Rubus infestus",2,"species","Unchecked"
"33","Rubus infestans","","Rubus infestus",2,"species","Accepted"
"34","Couyza ivaefolia","Conyza","Erigeron",11,"genus","Accepted"
"35","Elaeagni japonicae","","Elaeagia",10,"genus","Accepted"
"36","Elaeagni japonicae","","Elaeagnus",11,"genus","Accepted"
"37","Osmorhiza longis","","Osmorhiza longistylis",5,"species","Accepted"
"38","Petasitidis spurii","","Petasitis",9,"genus","Unchecked"
"39","Baillerie asperae","",NA,NA,NA,NA
"40","Crepidis biennis","Crepis biennis","Crepis lacera  subsp. lacera",2,"subspecies","Accepted"
"41","Crepidis biennis","Crepis biennis","Crepis vesicaria  subsp. taraxacifolia",2,"subspecies","Accepted"
"42","Crepidis biennis","","Crepis biennis",2,"species","Accepted"
"43","Crepidis biennis","Crepis biennis","Crepis runcinata  subsp. runcinata",2,"subspecies","Accepted"
"44","Crepidis biennis","Crepis biennis","Crepis marschallii",2,"species","Accepted"
"45","Thalictrum alpini","","Thalictrum alpinum",2,"species","Accepted"
"46","Thalictrum alpini","Thalictrum albinii","Thalictrum speciosissimum  subsp. albini",2,"subspecies","Accepted"
"47","Thalictgri anemonoides","Thalictrum anemonoides","Anemonella thalictroides",3,"species","Accepted"
"48","Thalictrum minoris","","Thalictrum morisonii",5,"species","Accepted"
"49","Rhytisynia umbellata","",NA,NA,NA,NA
"50","Aleyrodes citri","",NA,NA,NA,NA
"51","Theretra nessus","",NA,NA,NA,NA
"52","Alyzzum murale","Alyssum murale","Odontarrhena muralis",2,"species","Accepted"
"53","Alyzzum murale","Alyssum murale","Odontarrhena alpestris",2,"species","Accepted"
"54","Alyzzum murale","Alyssum murale","Odontarrhena alpestris",2,"species","Accepted"
"55","Raphani sativi","","Raphanus",7,"genus","Accepted"
"56","Sinapidis albae","",NA,NA,NA,NA
"57","Sinapidis arvensis","","Sinapis arvensis",2,"species","Accepted"
"58","Sisymbria officinale","","Sisymbrium officinale",2,"species","Accepted"
"59","Cersii arvensis","",NA,NA,NA,NA
"60","Almes grandis","","Abies grandis",2,"species","Accepted"
"61","Almes grandis","Abies grandis","Abies amabilis",2,"species","Accepted"
"62","Gila pungens","Gilia pungens","Navarretia squarrosa",1,"species","Accepted"
"63","Gila pungens","Gilia pungens","Linanthus pungens",1,"species","Accepted"
"64","Cestri macrophylli","","Cestron",12,"genus","Unchecked"
"65","Cestri macrophylli","","Cestrum",12,"genus","Accepted"
"66","Agastache scrophulariaefolia","","Agastache scrophulariifolia",2,"species","Accepted"
"67","Athyrium filix","Athyrium flexile","Athyrium distentifolium",5,"species","Accepted"
"68","Clea europaea","","Olea europaea",1,"species","Accepted"
"69","Reticulitermes flavipes","",NA,NA,NA,NA
"70","Quercus lignum","Quercus ligustica","Quercus pubescens",6,"species","Accepted"
"71","Carex luzulaefolia","","Carex luzulifolia",2,"species","Accepted"
"72","Savana borealis","","Sarana",10,"genus","Unchecked"
"73","Carex brunnescentis","","Carex brunnescens",2,"species","Accepted"
"74","Scirups austriacus","",NA,NA,NA,NA
"75","Tavastia australis","",NA,NA,NA,NA
"76","Donacis arundinaceae","Donacium","Arundo",13,"genus","Accepted"
"77","Yuca brevifolia","","Yucca brevifolia",1,"species","Accepted"
"78","Yuca brevifolia","Yucca brevifolia","Yucca baccata  var. brevifolia",1,"variety","Accepted"
"79","Heiachium lanatum","Hedychium lanatum","Riedelia lanata",2,"species","Accepted"
"80","Pampa apud","Pamea","Terminalia",6,"genus","Accepted"
"81","Pampa apud","Papa","Pellia",6,"genus","Accepted"
"82","Vernoniae patentis","","Vernonia patentissima",5,"species","Accepted"
"83","Rubus glandulicola","Rubus glandulifolius","Rubus odoratus",4,"species","Accepted"
"84","Dialeuroides citri","",NA,NA,NA,NA
"85","Paraleyrodes perseae","",NA,NA,NA,NA
"86","Achyla triphylla","","Enchylaena",11,"genus","Accepted"
"87","Achyla triphylla","","Pachylaena",11,"genus","Accepted"
"88","Asceplias cornuta","Asclepias cornuta","Gomphocarpus fruticosus  subsp. fruticosus",2,"subspecies","Accepted"
"89","Buxi sempervirentis","","Butia",15,"genus","Accepted"
"90","Buxi sempervirentis","","Buxus",15,"genus","Accepted"
"91","Buxi sempervirentis","","Nuxia",16,"genus","Accepted"
"92","Buxi sempervirentis","Bauxia","Cipura",16,"genus","Accepted"
"93","Lathryi nigri","Lathriogyna","Amphithalea",7,"genus","Accepted"
"94","Lathyrus nigri","","Lathyrus niger",2,"species","Accepted"
"95","Guaduae taquarae","","Guadua",10,"genus","Accepted"
"96","Phormia regina","Euphorbia regina","Euphorbia jolkinii",4,"species","Accepted"
"97","Blatta orientalis","","Blakea orientalis",2,"species","Accepted"
"98","Blechni volubilis","","Blechnum",10,"genus","Accepted"
"99","Antiaridis toxicaria","","Antiaris toxicaria",2,"species","Accepted"
"100","Acalyphae macrostegiae","","Acalypha",14,"genus","Accepted"
"101","Prini coriaceae","","Pirinia",10,"genus","Unchecked"
"102","Prini coriaceae","","Plinia",10,"genus","Accepted"
"103","Prini coriaceae","Prenia","Mesembryanthemum  sect. Flaviflora",10,"section","Accepted"
"104","Prini coriaceae","","Prinos",10,"genus","Accepted"
"105","Prini coriaceae","","Trinia",10,"genus","Accepted"
"106","Olacis imbricatae","Neolacis","Apinagia",14,"genus","Accepted"
"107","Gelsemium sempervirentis","","Gelsemium sempervirens",2,"species","Accepted"
"108","Carya illinoensis","Carex illinoensis","Carex conoidea",2,"species","Accepted"
